subjectAuthorizedFormOfName,relationType,objectAuthorizedFormOfName,description,date,startDate,endDate,culture
"Arouche Rendon",associativo,"Assembleia Geral Constituinte e Legislativa do Império do Brasil 1823",,1823,1823-00-00,1823-00-00,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Francisco Amaral","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Judiciário e do Ministério Público",associativo,"Francisco Amaral","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Francisco Amaral","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Francisco Amaral","Suplente da Subcomissão",,,,pt_BR
"Assembleia Geral Constituinte e Legislativa do Império do Brasil 1823",associativo,"Arouche Rendon",,1823,1823-00-00,1823-00-00,pt_BR
,associative,"Assembleia Nacional Constituinte",,,1987-00-00,1988-00-00,en
"Luiz Inácio Lula da Silva",associativo,"Assembleia Nacional Constituinte de 1987-1988",,,1987-00-00,1988-00-00,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Antônio Mariz","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Antônio Mariz","Presidente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Antônio Mariz","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"Antônio Mariz","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Affonso Arinos","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Affonso Arinos","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Lúcia Braga","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Lúcia Braga","1° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Lúcia Braga","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Lúcia Braga","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Antônio Câmara","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Antônio Câmara","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Antônio Câmara","Suplente da Comissão",,,,pt_BR
"Subcomissão da Família do Menor e do Idoso",associativo,"Antônio Câmara","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Darcy Pozza","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Darcy Pozza","Relator da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Darcy Pozza","Suplente da Comissão",,,,pt_BR
"Subcomissão de Princípios Gerais Intervenção do Estado Regime da Propriedade do Subsolo e da Atividade Econômica",associativo,"Darcy Pozza","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Délio Braz","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Délio Braz","Titular da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Djenal Gonçalves","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Djenal Gonçalves","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Djenal Gonçalves","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Judiciário e do Ministério Público",associativo,"Djenal Gonçalves","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Joaquim Haickel","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Joaquim Haickel","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Joaquim Haickel","Suplente da Comissão",,,,pt_BR
"Subcomissão do Sistema Eleitoral e Partidos Políticos",associativo,"Joaquim Haickel","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Lúcia Vânia","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Lúcia Vânia","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Lúcia Vânia","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Negros, Populações Indígenas, Pessoas Deficientes e Minorias",associativo,"Lúcia Vânia","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Maguito Vilela","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Maguito Vilela","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Maguito Vilela","Suplente da Comissão",,,,pt_BR
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"Maguito Vilela","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Raul Belém","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos e Garantias Individuais",associativo,"Raul Belém","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Raul Belém","Suplente da Comissão",,,,pt_BR
"Subcomissão da Questão Urbana e Transporte",associativo,"Raul Belém","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Abigail Feitosa","Suplente da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Abigail Feitosa","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Acival Gomes","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"Acival Gomes","Titular da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Acival Gomes","Suplente da Comissão",,,,pt_BR
"Subcomissão da Ciência e Tecnologia e da Comunicação",associativo,"Acival Gomes","Suplente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Adauto Pereira","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"Adauto Pereira","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Adauto Pereira","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Adauto Pereira","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Ademir Andrade","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Direitos dos Trabalhadores e Servidores Públicos",associativo,"Ademir Andrade","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Adolfo Oliveira","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Judiciário e do Ministério Público",associativo,"Adolfo Oliveira","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Adroaldo Streck","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Estados",associativo,"Adroaldo Streck","Suplente da Subcomissão",,,,pt_BR
"Subcomissão do Sistema Financeiro",associativo,"Adroaldo Streck","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Adroaldo Streck","Titular da Comissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Aécio Neves","1º Vice-Presidente",,,,pt_BR
"Subcomissão da Nacionalidade da Soberania e das Relações Internacionais",associativo,"Aécio Neves","Titular da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Afif Domingos","Titular da Comissão",,,,pt_BR
"Subcomissão de Princípios Gerais Intervenção do Estado Regime da Propriedade do Subsolo e da Atividade Econômica",associativo,"Afif Domingos","1° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Afif Domingos","Suplente da Comissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Agassiz Almeida","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"Agassiz Almeida","Titular da Subcomissão",,,,pt_BR
