culture,typeOfEntity,authorizedFormOfName,parallelFormsOfName,standardizedFormsOfName,otherFormsOfName,corporateBodyIdentifiers,datesOfExistence,history,places,legalStatus,functions,mandates,internalStructures,generalContext,descriptionIdentifier,institutionIdentifier,rules,status,levelOfDetail,revisionHistory,sources,maintenanceNotes,actorOccupations,actorOccupationNotes,subjectAccessPoints,placeAccessPoints,digitalObjectURI,digitalObjectChecksum
pt_BR,Pessoa,"Francisco Veiga",,,"Francisco Luiz da Veiga",,"☆ 10-6-1843  † 30-6-1915",,"Campanha (MG) - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Advogado

Atuação política:
- Deputado Geral, 1877-1877, MG, Dt. Posse: 01/02/1877;
- Deputado Federal (Constituinte), 1890-1893, MG, Dt. Posse: 15/11/1890;
- Deputado Federal, 1894-1896, MG, Dt. Posse: 22/05/1894;
- Deputado Federal, 1897-1899, MG, Dt. Posse: 06/05/1897;
- Deputado Federal, 1901-1902, MG, Dt. Posse: 04/07/1901;
- Deputado Federal, 1903-1905, MG, Dt. Posse: 04/05/1903;
- Deputado Federal, 1906-1909, MG, Dt. Posse: 17/05/1906;
- Deputado Federal, 1909-1912, MG, Dt. Posse: 03/05/1909;
- Deputado Federal, 1912-1915, MG, Dt. Posse: 02/05/1912.",,,,BR-DFCD-1876-P1045,,,,,"Registro atualizado em 30-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Campanha (MG)|Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/f/1/2/f12edb2ce17b26c2ddc17dcf9bf218582d7afded65e7378c2a7dc4408d13a14f/FranciscoVeiga_MinasGerais.jpg,f12edb2ce17b26c2ddc17dcf9bf218582d7afded65e7378c2a7dc4408d13a14f
pt_BR,Pessoa,"Gabriel de Magalhães",,,"Gabriel de Paula Almeida Magalhães",,"☆ [?]  † 12-12-1904",,"São João Del Rei (MG) - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Advogado

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890.",,,,BR-DFCD-1890-P1357,,,,,"Registro atualizado em 20-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São João del Rei (MG)|Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/c/3/7/c37fac19d819a8ee89f65c76fe720ffd18ba2f8b4efd61e8a93c27f6fe95d1b7/GabrielMagalh__es_MinasGerais.jpg,c37fac19d819a8ee89f65c76fe720ffd18ba2f8b4efd61e8a93c27f6fe95d1b7
pt_BR,Pessoa,"Gonçalves Chaves",,,"Antônio Gonçalves Chaves",,"☆ 16-9-1839  † 28-11-1911",,"Montes Claros (MG) - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissões: Advogado e juiz

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890.",,,,BR-DFCD-1890-P1359,,,,,"Registro atualizado em 21-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Montes Claros (MG)|Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/1/4/d/14d6bcb31de7e16d574060a3a5b99d701be73c25d20dd646ab128b54f2cf7608/Gon__alvesChaves_MinasGerais.jpg,14d6bcb31de7e16d574060a3a5b99d701be73c25d20dd646ab128b54f2cf7608
pt_BR,Pessoa,"Gonçalves Ramos",,,"Joaquim Gonçalves Ramos",,"☆ [?]  † [?]",,"Rio de Janeiro - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Médico

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1894-1896, MG, Dt. Posse: 21-05-1894;
- Deputado Federal, 1897-1899, MG, Dt. Posse: 03-05-1897.",,,,BR-DFCD-1890-P1360,,,,,"Registro atualizado em 21-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Rio de Janeiro|Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/f/b/a/fba0fc684aed3824a2a2b0cdc82e7f5cbfd3db0e04930fca6b78f423b9592d1e/Gon__alvesRamos_MinasGerais.jpg,fba0fc684aed3824a2a2b0cdc82e7f5cbfd3db0e04930fca6b78f423b9592d1e
pt_BR,Pessoa,"Jacob da Paixão",,,"Antônio Jacob da Paixão|Antônio Jacó da Paixão",,"☆ [?]  † 27-9-1912",,"Minas Gerais - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Advogado

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1897-1899, MG, Dt. Posse: 12-08-1897.",,,,BR-DFCD-1890-P1366,,,,,"Registro atualizado em 21-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/5/f/3/5f3052cdb5fd096b57ddc229d91659980d7a48df36deb6372d80c7e2b929e894/JacobdaPaix__o.jpg,5f3052cdb5fd096b57ddc229d91659980d7a48df36deb6372d80c7e2b929e894
pt_BR,Pessoa,"João de Avellar",,,"João Antônio de Avellar",,"☆ 8-12-1858  † [?]",,"Minas Gerais - local de eleição para deputado federal",,"Profissão: Médico

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890.",,,,BR-DFCD-1890-P1369,,,,,"Registro atualizado em 21-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/3/a/c/3ac32e338dd54d3dbc4c5770b4aabe3c6528b9e5a82c763f1664dd0bea1236a5/Jo__oAvellar_MinasGerais.jpg,3ac32e338dd54d3dbc4c5770b4aabe3c6528b9e5a82c763f1664dd0bea1236a5
pt_BR,Pessoa,"João Luiz de Campos",,,"João Luiz de Campos",,"☆ 26-1-1844  † [?]",,"Minas Gerais - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Militar

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1894-1896, MG, Dt. Posse: 15-05-1894;
- Deputado Federal, 1897-1899, MG, Dt. Posse: 03-05-1897;
- Deputado Federal, 1900-1902, MG, Dt. Posse: 02-05-1900;
- Deputado Federal, 1903-1905, MG, Dt. Posse: 02-05-1903;
- Deputado Federal, 1906-1909, MG, Dt. Posse: 02-05-1906;
- Deputado Federal, 1909-1912, MG, Dt. Posse: 03-05-1909;
- Deputado Federal, 1912-1915, MG, Dt. Posse: 02-05-1912.",,,,BR-DFCD-1890-P1373,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/a/f/4/af4934b4f0e089cb51433044a452d5a6975f380c5a63d14596df6d8296db8614/Jo__oLuiz_MinasGerais.jpg,af4934b4f0e089cb51433044a452d5a6975f380c5a63d14596df6d8296db8614
pt_BR,Pessoa,"Leonel Filho",,"Joaquim Leonel de Rezende Filho",,,"☆ [?]  † [?]",,"Minas Gerais - local de eleição para deputado federal",,"Profissão: Advogado

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 19-11-1890;
- Deputado Federal, 1894-1896, MG, Dt. Posse: 28-05-1894;
- Deputado Federal, 1897-1899, MG, . Dt. Posse: 19-05-1897;
- Deputado Federal, 1900-1902, MG, Dt. Posse: 02-05-1900;
- Deputado Federal, 1903-1905, MG, . Dt. Posse: 15-05-1903.",,,,BR-DFCD-1890-P1383,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/4/e/a/4ea043352060e65d126d31ecd307e436c4d719900dad020665c6692fc68d5966/leonel_filho.jpeg,4ea043352060e65d126d31ecd307e436c4d719900dad020665c6692fc68d5966
pt_BR,Pessoa,"João Pinheiro",,,"João Pinheiro da Silva",,"☆ 16-12-1860  † 25-10-1908",,"Serro (MG) - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissões: Industrial, advogado e professor

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890.",,,,BR-DFCD-1890-P1374,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Serro (MG)|Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/c/b/8/cb880d1ffacc509b3d41a0be275e4d21112a3fa13022614e51c4092ad8f59318/Jo__oPinheiro_MinasGerais.jpg,cb880d1ffacc509b3d41a0be275e4d21112a3fa13022614e51c4092ad8f59318
pt_BR,Pessoa,"Lamounier Godofredo",,,"Antônio Affonso Lamounier Godofredo|Lamounier",,"☆ [?]  † [?]",,,,"Atuação política:

- Deputado Federal (Congresso Constituinte de 1890-1891). Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Posse em 15-11-1890.",,,,,,,,,,"BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.",,,,,"Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/f/d/6/fd60a5b5cababaa7077675c6bfcb0f0ab936a2163db5792ccf472a370c6cfd25/LamounierGodofredo_MinasGerais.jpg,fd60a5b5cababaa7077675c6bfcb0f0ab936a2163db5792ccf472a370c6cfd25
pt_BR,Pessoa,"Manuel Fulgêncio",,,"Manoel Fulgêncio Alves Pereira",,"☆ 13-6-1841 †17-9-1928",,"Minas Gerais - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Advogado

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1891-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1894-1896, MG, Dt. Posse: 21-05-1894;
- Deputado Federal, 1897-1899, MG, Dt. Posse: 22-05-1897;
- Deputado Federal, 1900-1902, MG, Dt. Posse: 02-05-1900;
- Deputado Federal, 1903-1905, MG, Dt. Posse: 30-05-1903;
- Deputado Federal, 1906-1909, MG, Dt. Posse: 05-05-1906;
- Deputado Federal, 1909-1912, MG, Dt. Posse: 03-05-1909;
- Deputado Federal, 1912-1915, MG, Dt. Posse: 20-05-1912;
- Deputado Federal, 1915-1918, MG, Dt. Posse: 03-05-1915;
- Deputado Federal, 1918-1921, MG, Dt. Posse: 03-05-1918;
- Deputado Federal, 1921-1924, MG, Dt. Posse: 09-05-1921;
- Deputado Federal, 1924-1927, MG, Dt. Posse: 03-05-1924;
- Deputado Federal, 1927-1930, MG, Dt. Posse: 27-06-1927.",,,,BR-DFCD-1890-P1389,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/0/3/1/031203e40210e8f023a181d2121813b6a8d28fb6cfa778c9f7e45cf7c6ae445a/ManoelFulg__ncio_MinasGerais.jpg,031203e40210e8f023a181d2121813b6a8d28fb6cfa778c9f7e45cf7c6ae445a
pt_BR,Pessoa,"Matta Machado",,,"João da Matta Machado",,"☆ [?]  † [?]",,"Minas Gerais - local de eleição para deputado federal.",,"Atuação política:

- Deputado Federal (Congresso Nacional Constituinte), 1890-1891, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Posse em 9-11-1890.",,,,,,,,,,"BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizar perfil (27-04-2021)",,,,"Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/1/e/3/1e380dda3f5268d0e9d7582f9a43c8c4e84d8a78819dbc923d068f8a5fd8c4c1/MattaMachado_MinasGerais.jpg,1e380dda3f5268d0e9d7582f9a43c8c4e84d8a78819dbc923d068f8a5fd8c4c1
pt_BR,Pessoa,"Pacífico Mascarenhas",,,"Pacífico Gonçalves da Silva Mascarenhas",,"☆ [?]  † [?]",,"Minas Gerais - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Médico

Atuação política:
- Deputado Geral, 1886-1889, MG, Dt. Posse: 22/06/1886;
- Deputado Federal (Constituinte), 1890-1893, MG, Dt. Posse: 15/11/1890.",,,,BR-DFCD-1886-P1267,,,,,"Registro atualizado em 30-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/2/f/1/2f1fa79d852e8ee5198a532f9d6cafda7673fdc843056f29012025f02468ee30/Pac__ficoMascarenhas_MinasGerais.jpg,2f1fa79d852e8ee5198a532f9d6cafda7673fdc843056f29012025f02468ee30
pt_BR,Pessoa,Paletta,,,"Constantino Luiz Paletta",,"☆ 14-10-1863  † 27-12-1938",,"Juiz de Fora (MG) - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Advogado

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890.",,,,BR-DFCD-1890-P1408,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Juiz de Fora (MG)|Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/9/b/5/9b57e54e33735c19ef75367ed754f9c94ba43f0a165bd05b69e84709e841c6c5/ConstantinoPalleta_MinasGerais.jpg,9b57e54e33735c19ef75367ed754f9c94ba43f0a165bd05b69e84709e841c6c5
pt_BR,Pessoa,Viotti,,,"Policarpo Rodrigues Viotti",,"☆ 21-6-1843  † 22-5-1928",,"Baependi (MG) - local de nascimento
Minas Gerais - local de eleição para deputado federal",,"Profissão: Médico

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, MG. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890.",,,,BR-DFCD-1890-P1438,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Baependi (MG)|Minas Gerais",http://arquivohistorico02.camara.leg.br/uploads/r/null/9/0/6/9066d7cce8a68bd7e151e584d93f5977d2239f6a96016b76e413a1188122e33b/Viotti_MinasGerais.jpg,9066d7cce8a68bd7e151e584d93f5977d2239f6a96016b76e413a1188122e33b
pt_BR,Pessoa,Cantão,,,"José Ferreira Cantão",,"☆ 22-8-1827  † 15-5-1892",,"Belém (PA) - local de nascimento
Pará - local de eleição para deputado federal",,"Profissões: Médico, Professor e Doutor em Medicina

Atuação política:
- Deputado Federal, 1877-1877, PA, Dt. Posse: 01/02/1877;
- Deputado Federal, 1884, PA;
- Deputado Federal, 1885-1885, PA, Dt. Posse: 23/07/1885;
- Deputado Federal, 1886-1889, PA, Dt. Posse: 03/05/1886;
- Deputado Federal (Constituinte), 1890-1893, PA, Dt. Posse: 15/11/1890.",,,,BR-DFCD-1876-P1037,,,,,"Registro atualizado em 30-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Belém (PA)|Pará",http://arquivohistorico02.camara.leg.br/uploads/r/null/0/1/7/017f8a6cfdca8d41951e76be21671f69c9f31f0b2b49e70c278d99b14fe8d31f/Par___-_Jos___Ferreira_Cant__o.jpg,017f8a6cfdca8d41951e76be21671f69c9f31f0b2b49e70c278d99b14fe8d31f
pt_BR,Pessoa,"Índio do Brasil",,,"Arthur Índio do Brasil E Silva",,"☆ 23-6-1856  † [?]",,"Pará - local de eleição para deputado federal",,"Profissão: Militar

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, PA. Apresentação de Diploma em 9-11-1890. Reconhecimento em 11-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1902, PA;
- Deputado Federal, 1903-1905, PA, Dt. Posse: 08-05-1903.",,,,BR-DFCD-1890-P1363,,,,,"Registro atualizado em 21-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,Pará,,
pt_BR,Pessoa,"Lauro Sodré",,,"Lauro Nina Sodré e Silva",,"☆ 17-10-1858  † [?]",,"Pará - local de eleição para deputado federal",,"Profissão: Militar (Major)

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, PA. Apresentação de Diploma em 11-11-1890. Reconhecimento em 15-11-1890. Dt. Posse: 15-11-1890;
- Renunciou por ter sido eleito Governador do Pará.",,,,BR-DFCD-1890-P1382,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,Pará,http://arquivohistorico02.camara.leg.br/uploads/r/null/7/b/8/7b80b55a1597a111a7f5ae36bc405d2b58bced4b9eaa36281480ff8590133b42/Par___-_Lauro_Sodr__.jpg,7b80b55a1597a111a7f5ae36bc405d2b58bced4b9eaa36281480ff8590133b42
